config,n_seeds,bleu_mean,bleu_std,chrf_mean,chrf_std,rouge1_mean,rouge1_std,rougeL_mean,rougeL_std,bertscore_f1_mean,bertscore_f1_std
C,3,19.1615,1.044,40.0791,0.9889,0.445,0.0076,0.4024,0.0081,0.8787,0.0017
D,3,18.7716,1.4479,40.366,1.0422,0.4454,0.011,0.4033,0.0103,0.8784,0.0028
